KEGG,BIGG
C01019,fuc__L_p
C01019,fuc__L_c
C01019,fuc__L_e
C01019,fuc__L_l
C00122,fum_p
C00122,fum_c
C00122,fum_e
C00122,fum_m
C00122,fum_h
C00103,g1p_p
C00103,g1p_c
C00103,g1p_e
C00103,g1p_h
C00118;C00661,g3p_h;g3p_h
C00118;C00661,g3p_c;g3p_c
C00118;C00661,g3p_m;g3p_m
C00118;C00661,g3p_f;g3p_f
C00670,g3pc_p
C00670,g3pc_c
C00670,g3pc_e
C00168,hpyr_x
C00168,hpyr_c
C00168,hpyr_m
C01233,g3pe_p
C01233,g3pe_c
C01233,g3pe_e
C03274,g3pg_p
C03274,g3pg_c
C03274,g3pg_e
C01225,g3pi_p
C01225,g3pi_c
C01225,g3pi_e
C00092,g6p_p
C00092,g6p_c
C00092,g6p_r
C00092,g6p_e
C00124,gal_c
C00124,gal_e
C00124,gal_h
C00124,gal_l
C00124,gal_n
C00124,gal_p
C00446;C03384,gal1p_p;gal1p_p
C00446;C03384,gal1p_c;gal1p_c
C00446;C03384,gal1p_e;gal1p_e
C00446;C03384,gal1p_h;gal1p_h
C00879,galct__D_p
C00879,galct__D_c
C00879,galct__D_e
C00880,galctn__D_p
C00880,galctn__D_c
C00880,galctn__D_e
C00880,galctn__D_n
C15930,galctn__L_p
C15930,galctn__L_c
C15930,galctn__L_e
C06311,galt1p_c
C03783;C06156,gam1p_c;gam1p_c
C00352,gam6p_p
C00352,gam6p_c
C00352,gam6p_e
C03838,gar_h
C03838,gar_c
C03838,gar_m
C01181,gbbtn_p
C01181,gbbtn_c
C01181,gbbtn_e
C00266,gcald_m
C00266,gcald_c
C00266,gcald_e
C00035,gdp_c
C00035,gdp_e
C00035,gdp_g
C00035,gdp_h
C00035,gdp_m
C00035,gdp_n
C00035,gdp_p
C01222,gdpddman_c
C00325,gdpfuc_c
C00325,gdpfuc_g
C00096,gdpmann_c
C00096,gdpmann_g
C14830,gdpofuc_c
C04494,gdptp_c
C15767,gg4abut_c
C15700,ggbutal_c
C15699,ggptrc_c
C00989;C01991,ghb_c;ghb_c
C00031,glc__D_c
C00031,glc__D_e
C00031,glc__D_g
C00031,glc__D_l
C00031,glc__D_p
C00031,glc__D_r
C00031,glc__D_v
C00257,glcn_p
C00257,glcn_c
C00257,glcn_e
C00257,glcn_h
C00818,glcr_p
C00818,glcr_c
C00818,glcr_e
C00818,glcr_m
C00191,glcur_p
C00191,glcur_c
C00191,glcur_r
C00191,glcur_e
C00191,glcur_l
C00064,gln__L_c
C00064,gln__L_e
C00064,gln__L_h
C00064,gln__L_m
C00064,gln__L_n
C00064,gln__L_p
C00064,gln__L_v
C02282,glntrna_c
C00217,glu__D_c
C00217,glu__D_e
C00025,glu__L_c
C00025,glu__L_e
C00025,glu__L_h
C00025,glu__L_m
C00025,glu__L_l
C00025,glu__L_n
C00025,glu__L_p
C00025,glu__L_r
C00025,glu__L_v
C00025,glu__L_x
C03741,glu1sa_h
C03741,glu1sa_c
C03287,glu5p_x
C03287,glu5p_c
C03287,glu5p_m
C01165,glu5sa_x
C01165,glu5sa_c
C01165,glu5sa_m
C00669,glucys_h
C00669,glucys_c
C02987,glutrna_h
C02987,glutrna_c
C02987,glutrna_m
C00048,glx_m
C00048,glx_c
C00048,glx_h
C00048,glx_e
C00048,glx_x
C00037,gly_c
C00037,gly_e
C00037,gly_h
C00037,gly_m
C00037,gly_l
C00037,gly_p
C00037,gly_x
C00577,glyald_p
