,rn,deltaG_prime,deltaG_prime (error),deltaG_prime_m,deltaG_prime_m (error)
216,AMANK,-13.150439918372399,3.0624640836039108,-13.150439918372399,3.0624640836039108
217,ALLULPE,-4.355878539513128,1.4374923521034237,-4.355878539513128,1.4374923521034237
218,AMAOTr,-1.0726632455370577,4.94461888673745e-12,-1.0726632455370577,4.94461888673745e-12
219,ALLabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
220,ALLtex,0.0,0.0,0.0,0.0
221,AMMQLT8,-25.055561284067267,100005.89794411615,-25.055561284067267,100005.89794411615
222,ASCBptspp,-39.643543397032715,1.3046008407682312,-39.643543397032715,1.3046008407682312
223,ASCBtex,0.0,0.0,0.0,0.0
224,AMPMS2,-181.71055014655235,4.64282526674794,-215.94022521599442,4.64282526674794
225,ALR2,-16.55882007194407,1.714947743447636,-16.55882007194407,1.714947743447636
226,ALR4x,-16.21403413921462,0.9862312729818159,-16.21403413921462,0.9862312729818159
227,ASNN,-17.458682701195556,3.529367821946752,-34.57352023591659,3.529367821946752
228,ASNNpp,-17.458682701195556,3.529367821946752,-34.57352023591659,3.529367821946752
229,AMPN,-20.232096681679195,2.034726029750589,-37.34693421640023,2.034726029750589
230,ASNS1,-38.88512550452171,3.647855517299794,-55.99996303924274,3.647855517299794
231,ALTRH,-34.55974611993288,3.660373526141062,-34.55974611993288,3.660373526141062
232,ASNS2,-24.568750399741617,3.5638989328805684,-24.568750399741617,3.5638989328805684
233,AMPTASECG,8.51362333565362,4.907252931191537,-8.601214199067414,4.907252931191537
234,AM4PCP,0.6788434741197307,2.5257151265318094,-16.435994060601303,2.5257151265318094
235,AMALT1,-2.9495781991558943,2.579019887066355,-2.9495781991558943,2.579019887066355
236,ASNabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
237,ASNt2rpp,0.0,0.0,0.0,0.0
238,ASNtex,0.0,0.0,0.0,0.0
239,AMALT2,0.35362226649885997,2.3157292762991823,0.35362226649885997,2.3157292762991823
240,ASO3t8pp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
241,AMPTASEPG,28.323349973521488,8.12427390924991,11.208512438800454,8.12427390924991
242,ASO3tex,0.0,0.0,0.0,0.0
243,ASP1DC,-17.476718185372874,5.982127455137977,-34.59155572009391,5.982127455137977
244,AMPtex,0.0,0.0,0.0,0.0
245,ASPCT,-22.441026443991397,2.931870753740164,-22.441026443991397,2.931870753740164
246,ANHGMtex,0.0,0.0,0.0,0.0
247,ASPK,22.01175124638064,2.931870753672609,22.01175124638064,2.931870753672609
248,ASPO3,-73.55586521693118,6.585316514442458,-73.55586521693118,6.585316514442458
249,ASPO4,34.35594993766483,5.345073358058702,34.35594993766483,5.345073358058702
250,ASPO5,0.05168974590409903,3.3429878313284367,0.05168974590409903,3.3429878313284367
251,ANPRT,-62.32871326497286,3.624508681110641,-62.32871326497286,3.624508681110641
252,ASPO6,-71.17388710591081,4.794053851671274,-71.17388710591081,4.794053851671274
253,ANS,-108.50435444924915,7.578759300195092,-125.61919198397018,7.578759300195092
254,AOBUTDs,-16.55622691458899,3.088253269746168,-33.67106444931002,3.088253269746168
255,ASPT,13.178589682425155,0.47884790174104797,-3.936247852295878,0.47884790174104797
256,CAT,-191.89574024484403,6.729328439591558,-174.780902710123,6.729328439591558
257,ASPTA,2.836594689471582,0.5435878302628518,2.836594689471582,0.5435878302628518
258,AP4AH,-42.78344483052365,8.352962436003406,-59.89828236524468,8.352962436003406
259,CAt6pp,0.0,0.0,0.0,0.0
260,AP4AS,1.0225992448135628,8.361039308245518,1.0225992448135628,8.361039308245518
261,CBItonex,0.0,0.0,0.0,0.0
262,AP5AH,-7.544028912273802,100000.0,-24.658866446994836,100000.0
263,CBIuabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
264,ASPabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
